ĒDENES <[n,p,f,s,g,5],'ēdene','apzīmētājs'>
DĀRZS <[n,c,m,s,n,1],'dārzs',''>
... <[z,s],'...',''>
visbeidzot <[r,_,_],'visbeidzot',''>
un <[c,c,s],'un',''>
galu <[n,c,_,_,_,n],'galu',''>
galā <[n,c,m,s,l,1],'gals',''>
, <[z,c],',',''>
kaut <[q,s],'kaut',''>
kam <[p,i,0,0,0,d,n,[0]],'kas',''>
reiz <[r,_,t],'reiz',''>
ir <[v,c,n,i,p,i,i,3,0,a,n],'būt',''>
bijis <[v,c,n,p,d,m,s,n,a,s,n],'būt',''>
jātop <[v,t,n,d,0,i,1,0,0,a,n],'tapt',''>
no <[s,p,s,g,[y]],'no',''>
nekā <[p,z,0,m,s,g,[0]],'nekas',''>
... <[z,s],'...',''>
Sofija <[n,p,f,s,n,4],'sofija',''>
Amundsena <[n,p,f,s,n,4],'amundsena',''>
bija <[v,m,n,i,s,i,i,3,0,a,n],'būt',''>
ceļā <[n,c,m,s,l,1],'ceļš',''>
no <[s,p,s,g,[y]],'no',''>
skolas <[n,c,f,s,g,4],'skola',''>
mājup <[r,_,p],'mājup',''>
. <[z,s],'.',''>
Sākumā <[n,c,m,s,l,1],'sākums',''>
viņa <[p,p,3,f,s,n,[0]],'viņa',''>
kādu <[p,i,0,m,s,a,[0]],'kāds','apzīmētājs'>
gabalu <[n,c,m,s,a,1],'gabals',''>
izteicējs <,'','izteicējs'>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
gājusi <[v,m,n,p,d,f,s,n,a,s,n],'iet',''>
kopā <[r,_,m],'kopā','laika apstāklis multi'>
prievārdeklis <,'','netiešais papildinātājs multi'>
ar <[s,p,s,a,[n]],'ar',''>
Jūrunu <[n,p,f,s,a,4],'jūruna',''>
. <[z,s],'.',''>
Viņas <[p,p,3,f,p,n,[0]],'viņa',''>
sprieda <[v,m,n,i,s,t,1,3,0,a,n],'spriest',''>
par <[s,p,p,d,[n]],'par',''>
robotiem <[n,c,m,p,d,1],'robots',''>
. <[z,s],'.',''>
Jūruna <[n,p,f,s,n,4],'jūruna',''>
izteicējs <,'',''>
bija <[v,c,n,i,s,i,i,3,0,a,n],'būt',''>
pārliecināta <[v,m,n,p,d,f,s,n,p,s,n],'pārliecināta',''>
, <[z,c],',',''>
ka <[c,s,s],'ka',''>
cilvēka <[n,c,m,s,g,1],'cilvēks','apzīmētājs'>
smadzenes <[n,c,f,p,n,5],'smadzene',''>
līdzinoties <[v,m,y,r,p,i,3,0,0,a,n],'līdzināties','izteicējs'>
sarežģītam <[a,f,m,s,d,n,p],'sarežģīts','apzīmētājs'>
datoram <[n,c,m,s,d,1],'dators','netiešais papildinātājs multi'>
. <[z,s],'.',''>
Sofija <[n,p,f,s,n,4],'sofija','teikuma priekšmets'>
nomināls_izteicējs <,'',''>
